id,version,description,title,timezone,steps,details,duration,updated_at,points,created_at,calories,distance_miles,duration_millis,account_id,occurred_at,activity_type,apple_workout_uuid,apple_device_name,apple_source_name,workout_entry_id,photo_url,google_place_id,activity_count,activity_metric_amount,activity_type_id
618819194,v2,,Superiores cheeeeck,America/Indiana/Indianapolis,,"{""id"":109612704,""updated_at"":""2026-05-05T19:36:16"",""created_at"":""2026-05-05T12:49:02"",""workout_id"":618819194,""location_latitude"":null,""location_longitude"":null}",45,2026-05-05T12:56:11.069402Z,,2026-05-05T12:49:02.127053Z,129,,2729610,1798219,2026-05-05T11:32:33.000000Z,,,,,275915954,https://cdn.gymrats.app/45a9eb05-60ed-4054-9003-ef909f1d6df8.jpg,,1,,
618828828,v2,,Peito+tric,-04:00,256,"{""id"":109622337,""updated_at"":""2026-05-05T13:52:36"",""created_at"":""2026-05-05T12:58:12"",""workout_id"":618828828,""location_latitude"":null,""location_longitude"":null}",38,2026-05-05T12:58:12.799913Z,,2026-05-05T12:58:12.799913Z,186,,2318000,1798391,2026-05-05T11:34:31.000000Z,,,,,275920276,https://cdn.gymrats.app/792d6620-ba7f-43ff-a795-8c55c2adb69a.jpg,,1,,
618840398,v2,,Superiores,America/Sao_Paulo,,"{""id"":109633907,""updated_at"":""2026-05-05T13:09:04"",""created_at"":""2026-05-05T13:09:04"",""workout_id"":618840398,""location_latitude"":null,""location_longitude"":null}",50,2026-05-05T13:09:04.581237Z,,2026-05-05T13:09:04.581237Z,,,3000000,51123,2026-05-05T12:00:00.000000Z,,,,,275925457,https://cdn.gymrats.app/85a246e1-2358-486e-8c42-5d973c98e595.jpg,,1,,
619034130,v2,Hoje foi só por causa do time.,Chamando na bota!,Africa/Cairo,,"{""id"":109827089,""updated_at"":""2026-05-05T20:37:09"",""created_at"":""2026-05-05T16:18:39"",""workout_id"":619034130,""location_latitude"":""31.47385649372851"",""location_longitude"":""31.75165416380833""}",65,2026-05-05T16:18:39.865026Z,,2026-05-05T16:18:39.865026Z,327,,3903416,5912814,2026-05-05T14:59:46.000000Z,,,,,276012606,https://cdn.gymrats.app/a377a146-92f9-478d-b534-f47652a01218.jpg,,1,,
619340254,v2,🫶,Pai do Tobias tá ON,America/Fortaleza,,"{""id"":110133210,""updated_at"":""2026-05-05T21:11:17"",""created_at"":""2026-05-05T21:11:17"",""workout_id"":619340254,""location_latitude"":""-3.741980816154309"",""location_longitude"":""-38.487257157660885""}",45,2026-05-05T21:11:17.702960Z,,2026-05-05T21:11:17.702960Z,320,,2700000,7644605,2026-05-05T21:09:42.000000Z,,,,,276150196,https://cdn.gymrats.app/684e1acd-ff5d-4f7d-a667-a2f24ba3aca1.jpg,,1,,
619620194,v2,,Só pelo meu time 👯‍♀️,America/Fortaleza,,"{""id"":110413148,""updated_at"":""2026-05-06T00:24:10"",""created_at"":""2026-05-05T23:04:20"",""workout_id"":619620194,""location_latitude"":null,""location_longitude"":null}",,2026-05-05T23:04:20.509813Z,,2026-05-05T23:04:20.509813Z,,,,3875036,2026-05-05T23:03:26.000000Z,,,,,276275102,https://cdn.gymrats.app/fec1d5c4-6b72-40f6-b0e6-407ee0bdfe5f.jpg,,0,,
619630479,v2,,Running,America/Sao_Paulo,,"{""id"":110423432,""updated_at"":""2026-05-06T00:24:59"",""created_at"":""2026-05-05T23:07:38"",""workout_id"":619630479,""location_latitude"":null,""location_longitude"":null}",30,2026-05-05T23:10:26.938707Z,,2026-05-05T23:07:38.141249Z,188,,1830473,3941595,2026-05-05T22:32:48.000000Z,,,,,276279712,https://cdn.gymrats.app/b594ae04-1a50-495e-a831-6a07046244ff.jpg,,1,,
619657961,v2,,🤓,America/Fortaleza,,"{""id"":110450914,""updated_at"":""2026-05-05T23:16:45"",""created_at"":""2026-05-05T23:16:45"",""workout_id"":619657961,""location_latitude"":null,""location_longitude"":null}",,2026-05-05T23:16:45.811070Z,,2026-05-05T23:16:45.811070Z,,,,3875036,2026-05-05T23:09:06.000000Z,,,,,276291926,https://cdn.gymrats.app/ba08164a-0608-48b2-a8d1-3bba6e9c7e95.jpg,,0,,
619766143,v2,#oceandrive,penúltimo legday do ano 🔥,America/Sao_Paulo,,"{""id"":110559092,""updated_at"":""2026-05-05T23:55:34"",""created_at"":""2026-05-05T23:54:38"",""workout_id"":619766143,""location_latitude"":null,""location_longitude"":null}",100,2026-05-05T23:56:00.126463Z,,2026-05-05T23:54:38.322218Z,582,,6016502,7541260,2026-05-05T21:11:31.000000Z,,,,,276340017,https://cdn.gymrats.app/ed9fa15e-0411-47ed-a6c3-b14ee3af30fb.jpg,,1,,
619799735,v2,É o SUSSU!!!,OLHA QUEM VOLTOU???,America/Sao_Paulo,,"{""id"":110592685,""updated_at"":""2026-05-06T00:35:21"",""created_at"":""2026-05-06T00:06:02"",""workout_id"":619799735,""location_latitude"":""-23.533574617489737"",""location_longitude"":""-46.717325644611115""}",60,2026-05-06T00:06:02.169085Z,,2026-05-06T00:06:02.169085Z,,,3600000,7538297,2026-05-06T00:04:29.000000Z,,,,,276354918,https://cdn.gymrats.app/36ccb001-75ef-4b1d-b680-a20bb588a709.jpg,,1,,
619824954,v2,,Fui as 6,America/Sao_Paulo,,"{""id"":110617901,""updated_at"":""2026-05-06T00:14:48"",""created_at"":""2026-05-06T00:14:48"",""workout_id"":619824954,""location_latitude"":""-15.8348871"",""location_longitude"":""-47.9238229""}",,2026-05-06T00:14:48.707379Z,,2026-05-06T00:14:48.707379Z,,,,535190,2026-05-06T00:14:21.797519Z,,,,,276366080,https://cdn.gymrats.app/8567f7de-09b7-4f4f-a088-5a1b4952040a.jpg,,0,,
619868064,v2,,Tambem fui às 6h hein,America/Sao_Paulo,,"{""id"":110661012,""updated_at"":""2026-05-06T00:30:55"",""created_at"":""2026-05-06T00:30:55"",""workout_id"":619868064,""location_latitude"":null,""location_longitude"":null}",,2026-05-06T00:30:55.265514Z,,2026-05-06T00:30:55.265514Z,,,,1586631,2026-05-06T00:30:31.000000Z,,,,,276385192,https://cdn.gymrats.app/87eda82e-294a-4847-aeb3-23b6fea689ad.jpg,,0,,
619876719,v2,,Ah mas ping pong nao cansa,-03:00,4208,"{""id"":110669666,""updated_at"":""2026-05-06T00:34:21"",""created_at"":""2026-05-06T00:34:21"",""workout_id"":619876719,""location_latitude"":null,""location_longitude"":null}",71,2026-05-06T00:51:41.970103Z,,2026-05-06T00:34:21.976956Z,784,,4297000,255289,2026-05-05T23:21:24.000000Z,,,,,276389026,https://cdn.gymrats.app/4d6fc6f6-0083-4c0b-b219-9abc4fdd5b1a.jpg,,1,,
620167228,v2,,✔️,America/Sao_Paulo,,"{""id"":110960170,""updated_at"":""2026-05-06T09:20:58"",""created_at"":""2026-05-06T09:20:58"",""workout_id"":620167228,""location_latitude"":null,""location_longitude"":null}",,2026-05-06T09:20:58.350192Z,,2026-05-06T09:20:58.350192Z,,,,1586631,2026-05-06T09:20:50.000000Z,,,,,276518908,https://cdn.gymrats.app/4a2586b6-35f2-47b4-b514-971f59cd829b.jpg,,0,,
620167761,v2,,Aprendendo a usar como o Phelps (falando merda) previu,America/Sao_Paulo,,"{""id"":110960703,""updated_at"":""2026-05-06T09:21:33"",""created_at"":""2026-05-06T09:21:33"",""workout_id"":620167761,""location_latitude"":null,""location_longitude"":null}",,2026-05-06T09:21:33.974276Z,,2026-05-06T09:21:33.974276Z,,,,535190,2026-05-06T09:20:32.451886Z,,,,,276519149,https://cdn.gymrats.app/199e98bb-c90e-4286-9bdd-931c365d7398.jpg,,0,,
620306355,v2,,Bora,America/Sao_Paulo,,"{""id"":111099296,""updated_at"":""2026-05-06T10:59:49"",""created_at"":""2026-05-06T10:59:49"",""workout_id"":620306355,""location_latitude"":null,""location_longitude"":null}",,2026-05-06T10:59:49.569658Z,,2026-05-06T10:59:49.569658Z,,,,2241048,2026-05-06T10:59:35.000000Z,,,,,276580869,https://cdn.gymrats.app/a59da568-0c02-464f-ae83-97504934ad47.jpg,,0,,
620419726,v2,O relógio mostra automaticamente como Crosstraining pq é uma aula mista de bike + peso que eu faço na minha Peloton,Bike Bootcamp,Etc/GMT+4,,"{""id"":111212667,""updated_at"":""2026-05-06T12:18:42"",""created_at"":""2026-05-06T12:18:42"",""workout_id"":620419726,""location_latitude"":null,""location_longitude"":null}",45,2026-05-06T12:19:35.296056Z,,2026-05-06T12:18:42.215190Z,335,"10,52",2703000,1798219,2026-05-06T11:27:39.000000Z,,,,,276631219,https://cdn.gymrats.app/4ee6205a-bce9-4a4c-8219-db762eeda9fb.jpg,,1,,
620429375,v2,,fiz oq pude = inferiores 😮‍💨,America/Sao_Paulo,,"{""id"":111222316,""updated_at"":""2026-05-06T12:27:25"",""created_at"":""2026-05-06T12:27:25"",""workout_id"":620429375,""location_latitude"":null,""location_longitude"":null}",50,2026-05-06T12:27:25.273082Z,,2026-05-06T12:27:25.273082Z,,,3000000,51123,2026-05-06T11:00:00.000000Z,,,,,276635509,https://cdn.gymrats.app/4e142461-62d4-451f-a770-3b60938e6e7f.jpg,,1,,
620456293,v2,,Tennis,America/Sao_Paulo,,"{""id"":111249234,""updated_at"":""2026-05-06T14:18:49"",""created_at"":""2026-05-06T12:53:06"",""workout_id"":620456293,""location_latitude"":null,""location_longitude"":null}",67,2026-05-06T13:07:14.450893Z,,2026-05-06T12:53:06.410001Z,825,,4037242,3941595,2026-05-06T11:35:05.000000Z,,,,,276647558,https://cdn.gymrats.app/0ca85162-ffdf-49ee-ad3e-b821ac6f04c4.jpg,,1,,
620574618,v2,Nem 1 minuto a mais.,Só pra pontuar.,Africa/Cairo,,"{""id"":111367559,""updated_at"":""2026-05-06T14:55:45"",""created_at"":""2026-05-06T14:55:45"",""workout_id"":620574618,""location_latitude"":null,""location_longitude"":null}",30,2026-05-06T14:55:45.193064Z,,2026-05-06T14:55:45.193064Z,259,"2,25",1809416,5912814,2026-05-06T14:22:23.000000Z,,,,,276700611,https://cdn.gymrats.app/112a6d37-20c0-4604-bfd2-4710c2700f6e.jpg,,1,,
621106497,v2,,01:31:24 @caiorodrigues,America/Sao_Paulo,,"{""id"":111899432,""updated_at"":""2026-05-07T01:52:56"",""created_at"":""2026-05-06T22:22:18"",""workout_id"":621106497,""location_latitude"":null,""location_longitude"":null}",91,2026-05-06T22:23:12.833745Z,,2026-05-06T22:22:18.228148Z,406,,5484664,7541260,2026-05-06T20:41:56.000000Z,,,,,276939036,https://cdn.gymrats.app/00106799-6260-420e-8448-5a99bae120db.jpg,,1,,
621235136,v2,,Na força do meu time ✅,America/Fortaleza,,"{""id"":112028070,""updated_at"":""2026-05-07T01:51:27"",""created_at"":""2026-05-06T23:10:37"",""workout_id"":621235136,""location_latitude"":null,""location_longitude"":null}",,2026-05-06T23:10:37.071767Z,,2026-05-06T23:10:37.071767Z,,,,3875036,2026-05-06T23:09:51.000000Z,,,,,276996357,https://cdn.gymrats.app/0703db52-c5ee-454f-abf5-d2cfe041c345.jpg,,0,,
621240612,v2,,😴,America/Fortaleza,,"{""id"":112033546,""updated_at"":""2026-05-06T23:12:30"",""created_at"":""2026-05-06T23:12:30"",""workout_id"":621240612,""location_latitude"":null,""location_longitude"":null}",,2026-05-06T23:12:30.447534Z,,2026-05-06T23:12:30.447534Z,,,,3875036,2026-05-06T23:11:43.000000Z,,,,,276998788,https://cdn.gymrats.app/6c38cf19-8eae-4eae-81bb-00b2c1ba40f1.jpg,,0,,
621314570,v2,🇭🇺🇭🇺🇭🇺,Agora é buscar os 3 pontos!,America/Fortaleza,,"{""id"":112107502,""updated_at"":""2026-05-06T23:39:40"",""created_at"":""2026-05-06T23:39:40"",""workout_id"":621314570,""location_latitude"":""-3.7421095492314573"",""location_longitude"":""-38.48719551156839""}",75,2026-05-06T23:39:40.927915Z,,2026-05-06T23:39:40.927915Z,610,,4500000,7644605,2026-05-06T23:37:27.000000Z,,,,,277031641,https://cdn.gymrats.app/29c5f33b-d0bf-42f8-a31b-7224621906b2.jpg,,1,,
621540919,v2,Hj foi pelo time,Bike ,-04:00,,"{""id"":112333851,""updated_at"":""2026-05-07T01:40:26"",""created_at"":""2026-05-07T01:13:10"",""workout_id"":621540919,""location_latitude"":null,""location_longitude"":null}",32,2026-05-07T01:18:07.076996Z,,2026-05-07T01:13:10.673757Z,251,10,1939000,1798391,2026-05-07T00:30:31.000000Z,,,,,277132188,https://cdn.gymrats.app/792084b6-a45a-42fa-b785-e8aa8862cca7.jpg,,1,,
621592926,v2,,5km soltinhuuu,America/Sao_Paulo,,"{""id"":112385855,""updated_at"":""2026-05-07T01:45:09"",""created_at"":""2026-05-07T01:45:09"",""workout_id"":621592926,""location_latitude"":null,""location_longitude"":null}",38,2026-05-07T01:45:09.068513Z,,2026-05-07T01:45:09.068513Z,417,"5,14",2284000,7538297,2026-05-07T01:43:51.000000Z,,,,,277155403,https://cdn.gymrats.app/69f5698f-31c9-4567-95fc-e68fb2f3c225.jpg,,1,,
621716230,v2,,Riomar-Iguatemi-Riomar,-03:00,7936,"{""id"":112509161,""updated_at"":""2026-05-07T11:03:36"",""created_at"":""2026-05-07T09:02:29"",""workout_id"":621716230,""location_latitude"":null,""location_longitude"":null}",46,2026-05-07T09:06:45.044709Z,,2026-05-07T09:02:29.241908Z,606,"8,04",2785000,255289,2026-05-07T08:08:11.000000Z,,,,,277210701,https://cdn.gymrats.app/bbf8f648-f5ae-4552-bb64-69654699da5f.jpg,,1,,
621793366,v2,,😎,America/Fortaleza,,"{""id"":112586297,""updated_at"":""2026-05-07T10:11:44"",""created_at"":""2026-05-07T10:11:44"",""workout_id"":621793366,""location_latitude"":null,""location_longitude"":null}",,2026-05-07T10:11:44.933618Z,,2026-05-07T10:11:44.933618Z,,,,3875036,2026-05-07T10:11:18.000000Z,,,,,277245228,https://cdn.gymrats.app/0f6f720a-18a2-4819-9fe4-5cf56f2ff9bf.jpg,,0,,
621801857,v2,,Superior & abs 💪🏼,America/Fortaleza,,"{""id"":112594788,""updated_at"":""2026-05-07T10:17:36"",""created_at"":""2026-05-07T10:17:36"",""workout_id"":621801857,""location_latitude"":null,""location_longitude"":null}",,2026-05-07T10:17:36.878407Z,,2026-05-07T10:17:36.878407Z,,,,3875036,2026-05-07T10:16:01.000000Z,,,,,277248994,https://cdn.gymrats.app/8894480b-a7c5-4db2-a2b1-64724a44deaf.jpg,,0,,
621936022,v2,,"+1 dia, +1 Bootcamp",Etc/GMT+4,,"{""id"":112728953,""updated_at"":""2026-05-07T11:54:18"",""created_at"":""2026-05-07T11:54:18"",""workout_id"":621936022,""location_latitude"":null,""location_longitude"":null}",30,2026-05-07T13:12:08.731540Z,,2026-05-07T11:54:18.562733Z,266,"6,85",1800000,1798219,2026-05-07T11:21:32.000000Z,,,,,277308597,https://cdn.gymrats.app/c194248c-8a91-4912-9588-39b0897153b2.jpg,,1,,
621952050,v2,,MUSCULEISSON,America/Sao_Paulo,,"{""id"":112744981,""updated_at"":""2026-05-07T12:06:39"",""created_at"":""2026-05-07T12:06:39"",""workout_id"":621952050,""location_latitude"":null,""location_longitude"":null}",45,2026-05-07T12:06:39.057378Z,,2026-05-07T12:06:39.057378Z,,,2700000,7538297,2026-05-07T12:05:35.000000Z,,,,,277315726,https://cdn.gymrats.app/ca28f8ef-6de3-4638-87a9-fefef2342b16.jpg,,1,,
622159704,v2,peço respeito pelo exercício de hj ✋,vinyasa yoga,America/Sao_Paulo,,"{""id"":112952631,""updated_at"":""2026-05-07T15:44:11"",""created_at"":""2026-05-07T15:44:11"",""workout_id"":622159704,""location_latitude"":null,""location_longitude"":null}",50,2026-05-07T15:44:11.969495Z,,2026-05-07T15:44:11.969495Z,,,3000000,51123,2026-05-07T13:00:00.000000Z,,,,,277408940,https://cdn.gymrats.app/3ceb980a-3192-493d-89f9-5229ee66be80.jpg,,1,,
622487006,v2,,A mãe tá on ,America/Fortaleza,,"{""id"":113279931,""updated_at"":""2026-05-07T21:20:42"",""created_at"":""2026-05-07T21:20:42"",""workout_id"":622487006,""location_latitude"":null,""location_longitude"":null}",64,2026-05-07T21:20:42.069500Z,,2026-05-07T21:20:42.069500Z,,,3840000,401109,2026-05-07T21:18:41.000000Z,,,,,277555792,https://cdn.gymrats.app/7324b093-f81c-45e3-ad9e-89b870f84671.jpg,,1,,
622491662,v2,,O Agassi do Agreste!,America/Fortaleza,,"{""id"":113284586,""updated_at"":""2026-05-07T21:47:24"",""created_at"":""2026-05-07T21:23:24"",""workout_id"":622491662,""location_latitude"":""-3.751291603704586"",""location_longitude"":""-38.498846341327955""}",52,2026-05-07T21:23:24.206016Z,,2026-05-07T21:23:24.206016Z,553,,3120000,7644605,2026-05-07T21:21:44.000000Z,,,,,277557865,https://cdn.gymrats.app/afb5eaf4-d7aa-4c17-9013-b01722d77ebb.jpg,,1,,
622694724,v2,,costa direita e costa esquerda ✅,America/Sao_Paulo,,"{""id"":113487649,""updated_at"":""2026-05-07T22:56:59"",""created_at"":""2026-05-07T22:56:59"",""workout_id"":622694724,""location_latitude"":null,""location_longitude"":null}",81,2026-05-07T23:01:41.490856Z,,2026-05-07T22:56:59.198470Z,495,,4878922,7541260,2026-05-07T19:15:52.000000Z,,,,,277648358,https://cdn.gymrats.app/b3ec50e8-a8bb-4f54-83d9-6288fbf97171.jpg,,1,,
622778034,v2,,Força ,-03:00,16,"{""id"":113570959,""updated_at"":""2026-05-07T23:29:37"",""created_at"":""2026-05-07T23:29:37"",""workout_id"":622778034,""location_latitude"":null,""location_longitude"":null}",60,2026-05-07T23:29:37.212124Z,,2026-05-07T23:29:37.212124Z,274,,3635000,2241048,2026-05-07T22:24:37.000000Z,,,,,277685410,https://firebasestorage.googleapis.com/v0/b/gymrats-1549569453212.appspot.com/o/fst.png?alt=media&token=55dd8146-cb7e-4729-a577-e4b8a315c91d,,1,,
623116490,v2,Sofrida,Bike,-04:00,,"{""id"":113909414,""updated_at"":""2026-05-08T02:45:05"",""created_at"":""2026-05-08T02:44:02"",""workout_id"":623116490,""location_latitude"":null,""location_longitude"":null}",32,2026-05-08T02:44:26.492045Z,,2026-05-08T02:44:02.405513Z,187,9,1946000,1798391,2026-05-08T02:08:11.000000Z,,,,,277835763,https://cdn.gymrats.app/39e83cb1-7bf1-44c5-9052-afc6491b0c42.jpg,,1,,
623180555,v2,,1 dia após falhar,America/Sao_Paulo,,"{""id"":113973479,""updated_at"":""2026-05-09T19:34:36"",""created_at"":""2026-05-08T09:08:51"",""workout_id"":623180555,""location_latitude"":null,""location_longitude"":null}",,2026-05-08T09:08:51.889188Z,,2026-05-08T09:08:51.889188Z,,,,535190,2026-05-08T09:07:58.416973Z,,,,,277864506,https://cdn.gymrats.app/7ce3e4e7-c9c8-4026-84a0-80949c246980.jpg,,0,,
623240232,v2,,Tete check ✔️,America/Sao_Paulo,,"{""id"":114033155,""updated_at"":""2026-05-08T10:09:26"",""created_at"":""2026-05-08T10:09:26"",""workout_id"":623240232,""location_latitude"":null,""location_longitude"":null}",,2026-05-08T10:09:26.553555Z,,2026-05-08T10:09:26.553555Z,,,,1586631,2026-05-08T10:09:09.000000Z,,,,,277891260,https://cdn.gymrats.app/61499613-f4e4-4910-ad6c-c96ab1ed4fa7.jpg,,0,,
623402721,v2,,Bootcamp - Superiores ,Etc/GMT+4,,"{""id"":114195644,""updated_at"":""2026-05-08T13:46:03"",""created_at"":""2026-05-08T12:17:09"",""workout_id"":623402721,""location_latitude"":null,""location_longitude"":null}",45,2026-05-08T13:50:19.097921Z,,2026-05-08T12:17:09.756652Z,357,"8,53",2700000,1798219,2026-05-08T11:20:49.000000Z,,,,,277963368,https://cdn.gymrats.app/c0fdefa1-446c-475c-85c0-dced6510b548.jpg,,1,,
623567212,v2,Foi o que deu hoje,Against all odds,Africa/Cairo,,"{""id"":114360133,""updated_at"":""2026-05-08T16:39:10"",""created_at"":""2026-05-08T15:22:18"",""workout_id"":623567212,""location_latitude"":null,""location_longitude"":null}",57,2026-05-08T15:24:40.233487Z,,2026-05-08T15:22:18.333875Z,320,,3472000,5912814,2026-05-08T14:12:42.000000Z,,,,,278036999,https://cdn.gymrats.app/d51711ea-80da-4816-aae2-526e69d283df.jpg,,1,,
